Metalcore, 19, 0.8421050906181335
MPB, 19, 0.8014937043190002
Metal, 19, 0.7994667887687683
Malay, 19, 0.7873652577400208
Opera, 19, 0.781100332736969
Industrial, 19, 0.7785255908966064
J-Idol, 19, 0.7746623754501343
K-Pop, 19, 0.771014392375946
Comedy, 19, 0.7668903470039368
Hard-Rock, 19, 0.7604855895042419
Dub, 19, 0.7600440979003906
Turkish, 19, 0.7589898109436035
Indian, 19, 0.7566211819648743
Progressive-House, 19, 0.7562583684921265
Black-Metal, 19, 0.7557082176208496
Groove, 19, 0.7534627914428711
Songwriter, 19, 0.7512010931968689
New-Age, 19, 0.7496554851531982
Cantopop, 19, 0.7492583990097046
Goth, 19, 0.7481330037117004
Sleep, 19, 0.7474868893623352
Iranian, 19, 0.7459288835525513
German, 19, 0.7418001890182495
Rock, 19, 0.7411565780639648
Trance, 19, 0.7410436868667603
Dubstep, 19, 0.7407576441764832
J-Dance, 19, 0.7405955791473389
Spanish, 19, 0.7396414279937744
Hip-Hop, 19, 0.7389892339706421
Death-Metal, 19, 0.7382948398590088
Gospel, 19, 0.738079845905304
French, 19, 0.7375437021255493
Latin, 19, 0.7368847727775574
Afrobeat, 19, 0.7367307543754578
Drum-and-Bass, 19, 0.7361061573028564
Psych-Rock, 19, 0.7346053123474121
J-Rock, 19, 0.7333329916000366
Breakbeat, 19, 0.7322180867195129
Rock-n-Roll, 19, 0.731499195098877
Bluegrass, 19, 0.7307550311088562
Ska, 19, 0.7301417589187622
Study, 19, 0.7297490835189819
Sad, 19, 0.7296391129493713
Piano, 19, 0.7292496562004089
Emo, 19, 0.7292017936706543
Brazil, 19, 0.7291706800460815
Folk, 19, 0.7281395196914673
Electronic, 19, 0.7272605895996094
IDM, 19, 0.7257859706878662
Chicago-House, 19, 0.7247174978256226
Kids, 19, 0.7244979739189148
Heavy-Metal, 19, 0.7240660190582275
Happy, 19, 0.7238311767578125
Reggae, 19, 0.7227417230606079
Disney, 19, 0.7222562432289124
Garage, 19, 0.7210960984230042
Rockabilly, 19, 0.7209017872810364
Alt-Rock, 19, 0.720489501953125
Honky-Tonk, 19, 0.7202267050743103
Grunge, 19, 0.7201438546180725
Mandopop, 19, 0.7200338840484619
Indie, 19, 0.7188230156898499
Guitar, 19, 0.7186294198036194
Dance, 19, 0.7186121940612793
Anime, 19, 0.7175853252410889
Electro, 19, 0.7175111770629883
Ambient, 19, 0.7161123156547546
Soul, 19, 0.7150772213935852
Swedish, 19, 0.7130478620529175
Salsa, 19, 0.7125347852706909
Grindcore, 19, 0.7123443484306335
Dancehall, 19, 0.7117016911506653
Country, 19, 0.7106526494026184
Jazz, 19, 0.7101882100105286
Pop, 19, 0.7099750638008118
Samba, 19, 0.7098447680473328
Children, 19, 0.7089791893959045
Blues, 19, 0.7087745666503906
Hardcore, 19, 0.7085414528846741
J-Pop, 19, 0.7072249054908752
Trip-Hop, 19, 0.7059805989265442
Funk, 19, 0.7057169675827026
Sertanejo, 19, 0.7055363059043884
Minimal-Techno, 19, 0.7051502466201782
Show-Tunes, 19, 0.7045915126800537
Detroit-Techno, 19, 0.7042140364646912
Deep-House, 19, 0.7031000852584839
Punk, 19, 0.7017684578895569
Acoustic, 19, 0.7016060948371887
Party, 19, 0.701064944267273
Romance, 19, 0.7009869813919067
Hardstyle, 19, 0.7002536654472351
Alternative, 19, 0.7002116441726685
Indie-Pop, 19, 0.7001667618751526
Chill, 19, 0.7001477479934692
EDM, 19, 0.6996084451675415
Tango, 19, 0.6994333267211914
Singer-Songwriter, 19, 0.6990736722946167
Punk-Rock, 19, 0.6971972584724426
Pop-Film, 19, 0.6960206031799316
Synth-Pop, 19, 0.6922110915184021
Reggaeton, 19, 0.6905390620231628
House, 19, 0.6883158683776855
Pagode, 19, 0.6866536140441895
R-n-B, 19, 0.6864739060401917
Disco, 19, 0.6828725337982178
British, 19, 0.6802546381950378
Latino, 19, 0.6797462105751038
Club, 19, 0.6781066656112671
Forro, 19, 0.6778658032417297
Classical, 19, 0.6763209700584412
Techno, 19, 0.6699202656745911
Power-Pop, 19, 0.6545441150665283
